Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,22.75,0.0,49.66,460.125,1701.1609305555555,34.10934786975
1,1,8,0,22.55,0.0,47.61,449.7,1709.7514797222223,37.371516384875
1,2,8,0,22.45,0.0,45.93,447.8,1807.806545,34.04105064275
1,3,8,0,22.38,0.0,44.92,438.15,1722.9791741666663,36.405683869375
1,4,8,0,22.41,0.0,44.17,441.35,1793.8725563888888,30.986842260249997
1,5,8,0,22.32,0.0,44.4,432.1,1796.7105783333332,35.772123341874995
1,6,8,0,22.35,0.0,44.64,429.475,1798.3208466666665,31.725855535
1,7,8,0,22.34,0.0,45.12,436.35,1652.0468638888888,32.890724176249996
1,8,8,0,22.26,0.0,45.32,432.9,1755.2522972222223,36.854724069499994
1,9,8,0,22.27,0.0,44.99,437.75,1713.5382872222222,32.17697946875
1,10,8,0,22.42,0.0,44.61,437.675,1737.6344594444445,33.740949040125
1,11,8,0,22.54,0.0,45.22,434.375,1696.185493611111,35.314000876624995
1,12,8,0,22.65,0.0,46.62,445.475,1755.4730202777778,34.605601781124996
1,13,8,0,22.64,0.0,47.72,449.075,1680.6871266666665,36.123368735625
1,14,8,0,22.42,0.0,49.24,462.825,1795.1955219444442,36.297690198
1,15,8,0,22.51,0.0,49.77,460.55,1763.0668347222222,34.058186494375
1,16,8,0,22.59,0.0,49.82,467.575,1709.062933611111,33.04511389125
1,17,8,0,22.48,0.0,50.06,461.5,1746.6272325,34.283300062875
1,18,8,0,22.59,0.0,49.73,470.3,1752.1094205555555,37.220406132499996
1,19,8,0,22.81,0.0,48.8,463.25,1708.7692572222222,35.848395026249996
1,20,8,0,22.9,0.0,48.25,465.2,1737.9628475,34.233809191249996
1,21,8,0,22.78,0.0,49.44,477.15,1840.1422275,33.894951901625
1,22,8,0,22.94,0.0,49.17,461.325,1859.822565833333,36.28160060925
1,23,8,0,22.87,0.0,49.47,462.75,1893.0708513888885,33.34297350199999
1,0,6,0,22.73,0.0,51.02,449.225,1943.2687261111112,34.35721545775
1,1,6,0,22.61,0.0,53.13,443.225,1965.2389558333334,32.3264280095
1,2,6,0,22.72,0.0,53.46,435.65,1948.2935830555555,34.9720135905
1,3,6,0,22.58,0.0,54.31,441.9,2028.7599330555552,29.098232265375
