Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,20.69,0.0,39.31,86.575,1030.4256305555555,22.9383376085
1,1,8,0,22.57,0.0,33.34,86.55,1031.127316111111,24.3568238875
1,2,8,0,23.5,0.0,35.65,87.6,1063.0167477777777,23.831239447124997
1,3,8,0,22.91,0.0,29.3,87.6,991.2714588888889,23.650297514625
1,4,8,0,23.1,0.0,28.3,86.85,1071.3736305555556,23.8387215455
1,5,8,0,22.1,0.0,30.5,87.625,1015.7759344444444,23.707446327124998
1,6,8,0,22.02,0.0,31.83,87.75,1043.721963888889,22.995583134375
1,7,8,0,22.29,0.0,34.36,88.225,1066.7642349999999,22.440958305124997
1,8,8,0,22.55,0.0,35.46,88.0,1024.7391927777778,23.28392087375
1,9,8,0,22.81,0.0,35.85,85.725,1018.8956700000001,23.171320128875
1,10,8,0,23.31,0.0,37.62,87.275,1019.0286333333333,24.46758707825
1,11,8,0,23.96,0.35,42.34,89.8,1068.0085599999998,21.679964717875
1,12,8,0,24.18,0.55,45.19,88.475,1067.4559188888888,23.426713775874997
1,13,8,0,24.07,0.45,44.1,91.675,1065.3759644444444,24.00297602475
1,14,8,0,24.09,0.48,42.37,89.75,1103.003411111111,23.301171023
1,15,8,0,23.71,0.1,42.61,89.175,1118.2181033333334,22.762609406124998
1,16,8,0,23.62,0.01,42.97,89.125,1093.7491238888888,24.13721418925
1,17,8,0,23.62,0.01,41.32,90.0,1079.5561705555556,21.921739363249998
1,18,8,0,23.62,0.01,40.2,87.7,1091.6336733333333,23.435734496125
1,19,8,0,23.62,0.01,40.62,91.125,1039.998206111111,23.370452968
1,20,8,0,23.62,0.01,41.41,89.85,1084.0900633333333,23.421807770125
1,21,8,0,23.62,0.01,41.76,88.15,1179.1055044444445,23.22336071675
1,22,8,0,23.6,0.0,40.5,91.45,1203.8406066666666,23.80786118675
1,23,8,0,23.19,0.0,38.54,88.15,1172.9756594444443,23.968818619125
1,0,6,0,22.08,0.0,41.71,87.5,1158.909786111111,22.699648998999997
1,1,6,0,23.48,0.0,40.86,89.725,1225.612273888889,24.569276795999997
1,2,6,0,24.04,0.0,43.86,87.225,1189.9620194444442,23.200325349249997
1,3,6,0,23.25,0.0,39.64,86.975,1270.7021405555556,22.95235225575
1,4,6,0,23.18,0.0,39.44,86.975,1240.0815477777778,23.21724139775
1,5,6,0,22.67,0.0,41.79,88.8,1274.5359166666667,23.667758674875
1,6,6,0,22.92,0.0,42.23,87.725,1282.4323305555554,23.518881622249996
1,7,6,0,23.15,0.0,43.48,87.875,1242.9337877777778,24.434994670875
1,8,6,0,23.53,0.0,43.69,87.1,1206.946222222222,24.50553388975
1,9,6,0,23.62,0.01,42.69,87.7,1169.644516111111,22.741350047875
1,10,6,0,23.62,0.01,41.29,87.275,1225.102581111111,22.378428712124997
1,11,6,0,24.08,0.47,39.85,88.1,1286.1566766666665,23.681826074874998
1,12,6,0,24.13,0.52,36.03,89.025,1232.439686111111,23.406913910374996
1,13,6,0,24.12,0.51,32.37,87.05,1278.6258138888888,24.18451582175
1,14,6,0,24.22,0.61,29.21,86.775,1240.5280927777776,24.448903812624998
1,15,6,0,23.76,0.15,27.88,86.6,1220.216668888889,23.320645579875
1,16,6,0,23.61,0.0,26.41,87.125,1186.4690844444444,24.033757254375
1,17,6,0,23.61,0.0,25.32,87.925,1244.9523594444445,23.390191288625
1,18,6,0,23.61,0.0,23.76,87.5,1201.1240755555557,23.1698870125
1,19,6,0,23.6,0.0,22.41,88.5,1253.5839938888887,29.345150303875
1,20,6,0,23.59,0.0,21.41,90.15,1133.4733905555556,28.372662149749996
1,21,6,0,23.36,0.0,20.32,93.175,1186.738933333333,25.280841056499998
1,22,6,0,22.73,0.0,18.68,90.475,1146.7163816666666,25.470539945499997
1,23,6,0,22.32,0.0,16.29,89.35,1135.244666111111,26.348609469249997
1,0,7,0,19.57,0.0,17.72,91.575,1166.2888588888889,26.564842991499997
1,1,7,0,21.49,0.0,16.89,89.1,1123.664697222222,25.750226233874997
1,2,7,0,22.08,0.0,20.39,89.3,1136.7772744444444,24.251819538625
1,3,7,0,22.88,0.0,21.1,88.95,1138.9058644444444,23.8315471715
1,4,7,0,22.67,0.0,14.84,86.75,1141.2956744444446,23.72416015675
1,5,7,0,22.05,0.0,14.09,85.875,1128.043662222222,24.184973012249998
1,6,7,0,22.09,0.0,15.0,87.15,1165.1925977777778,23.98711503125
1,7,7,0,21.87,0.0,15.73,85.425,1124.082806111111,24.038311575125
1,8,7,0,22.15,0.0,16.61,85.525,1149.3327,25.311165095625
1,9,7,0,22.27,0.0,16.71,85.775,1094.8500916666667,24.419318312
1,10,7,0,22.5,0.0,16.49,86.475,1132.0029494444443,24.258782901625
1,11,7,0,23.4,0.0,17.8,85.8,1073.8558088888888,25.293888569999996
1,12,7,0,23.82,0.21,17.85,87.6,1087.4225794444442,23.83349902325
1,13,7,0,23.82,0.21,17.2,83.925,1082.2756433333334,22.5532425335
1,14,7,0,23.97,0.36,15.09,85.875,1045.8038794444444,23.117582660875
1,15,7,0,23.5,0.0,15.01,85.675,1083.6525394444443,23.667231147375
1,16,7,0,23.34,0.0,16.82,87.35,1073.0780322222222,23.6007714745
1,17,7,0,23.35,0.0,18.39,87.8,986.0625516666665,23.5155933675
1,18,7,0,23.24,0.0,18.34,90.25,1010.4976038888888,23.086845391875
1,19,7,0,23.05,0.0,17.53,91.625,1003.644305,22.484971682875
1,20,7,0,23.11,0.0,17.65,92.55,1006.6561794444444,23.816002694499996
1,21,7,0,23.01,0.0,17.82,93.05,992.8611355555554,22.61709094525
1,22,7,0,22.55,0.0,16.84,92.125,980.7855938888887,22.241570494374997
1,23,7,0,22.19,0.0,14.95,95.25,1056.5329222222222,22.446558888749998
1,0,8,0,19.2,0.0,16.33,90.775,1195.6678722222223,23.936692194375
1,1,8,0,21.48,0.0,14.78,92.325,1221.576111111111,23.4948439525
1,2,8,0,22.34,0.0,18.36,90.7,1182.6602144444444,22.947578131874998
1,3,8,0,23.08,0.0,20.31,89.275,1269.211107777778,22.736830895624998
1,4,8,0,23.47,0.07,22.63,91.75,1284.91294,23.1956303545
1,5,8,0,21.97,0.0,18.93,88.85,1321.2393855555556,24.103918411875
1,6,8,0,21.59,0.0,19.17,91.5,1361.3752894444444,23.320821422374998
1,7,8,0,21.76,0.0,23.2,88.75,1385.4063527777778,23.313312947625
1,8,8,0,22.01,0.0,26.49,88.575,1499.1084372222222,23.047966615125
1,9,8,0,22.25,0.0,27.95,88.425,1558.126311111111,23.37764492625
