name,slottime_GMT,slottype,slotavg,pointTitle
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-21 00:00:00,D,149.894791666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-21 00:00:00,D,251.984617708,Steam
HollisterHall.CW.FP/TONS,2016-06-22 00:00:00,D,33.601900729,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,148.902083333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,298.087301041,Steam
HollisterHall.CW.FP/TONS,2016-06-23 00:00:00,D,31.197025625,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,146.952083333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,336.417946875,Steam
HollisterHall.CW.FP/TONS,2016-06-24 00:00:00,D,32.508561684,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-24 00:00:00,D,140.465263157,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-24 00:00:00,D,355.851565263,Steam
HollisterHall.CW.FP/TONS,2016-06-25 00:00:00,D,32.616143750,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-25 00:00:00,D,122.111458333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-25 00:00:00,D,295.871603125,Steam
HollisterHall.CW.FP/TONS,2016-06-26 00:00:00,D,41.374987604,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-26 00:00:00,D,125.358333333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-26 00:00:00,D,255.881956250,Steam
HollisterHall.CW.FP/TONS,2016-06-27 00:00:00,D,53.647057291,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-27 00:00:00,D,155.922916666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-27 00:00:00,D,267.158626041,Steam
HollisterHall.CW.FP/TONS,2016-06-28 00:00:00,D,59.159521875,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-28 00:00:00,D,161.704166666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-28 00:00:00,D,264.003146875,Steam
HollisterHall.CW.FP/TONS,2016-06-29 00:00:00,D,45.866841666,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-29 00:00:00,D,147.985416666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-29 00:00:00,D,285.478880208,Steam
HollisterHall.CW.FP/TONS,2016-06-30 00:00:00,D,37.576579166,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-30 00:00:00,D,147.293750000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-30 00:00:00,D,351.872222916,Steam
HollisterHall.CW.FP/TONS,2016-07-01 00:00:00,D,41.097912187,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-01 00:00:00,D,143.459375000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-01 00:00:00,D,297.654601041,Steam
HollisterHall.CW.FP/TONS,2016-07-02 00:00:00,D,30.985554166,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-02 00:00:00,D,121.227083333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-02 00:00:00,D,326.975578125,Steam
HollisterHall.CW.FP/TONS,2016-07-03 00:00:00,D,29.026471875,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-03 00:00:00,D,124.332291666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-03 00:00:00,D,313.044732291,Steam
HollisterHall.CW.FP/TONS,2016-07-04 00:00:00,D,30.607257291,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-04 00:00:00,D,124.286458333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-04 00:00:00,D,297.244834375,Steam
HollisterHall.CW.FP/TONS,2016-07-05 00:00:00,D,54.103926041,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-05 00:00:00,D,149.686458333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-05 00:00:00,D,262.882626041,Steam
HollisterHall.CW.FP/TONS,2016-07-06 00:00:00,D,56.923446875,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-06 00:00:00,D,159.865625000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-06 00:00:00,D,260.909658333,Steam
HollisterHall.CW.FP/TONS,2016-07-07 00:00:00,D,61.238481250,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-07 00:00:00,D,163.690625000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-07 00:00:00,D,259.740569791,Steam
HollisterHall.CW.FP/TONS,2016-07-08 00:00:00,D,63.644859375,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-08 00:00:00,D,167.323958333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-08 00:00:00,D,262.065670833,Steam
HollisterHall.CW.FP/TONS,2016-07-09 00:00:00,D,55.682860416,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-09 00:00:00,D,149.731250000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-09 00:00:00,D,254.701780208,Steam
HollisterHall.CW.FP/TONS,2016-07-10 00:00:00,D,44.632953125,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-10 00:00:00,D,135.223958333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-10 00:00:00,D,282.262825000,Steam
HollisterHall.CW.FP/TONS,2016-07-11 00:00:00,D,41.449846562,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-11 00:00:00,D,150.821875000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-11 00:00:00,D,375.915940625,Steam
HollisterHall.CW.FP/TONS,2016-07-12 00:00:00,D,45.223087500,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-12 00:00:00,D,157.232291666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-12 00:00:00,D,283.923511458,Steam
HollisterHall.CW.FP/TONS,2016-07-13 00:00:00,D,62.108314583,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-13 00:00:00,D,168.617708333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-07-13 00:00:00,D,255.660744791,Steam
HollisterHall.CW.FP/TONS,2016-07-14 00:00:00,D,64.536711578,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-07-14 00:00:00,D,175.823958333,Electric
