name,slottime_GMT,slottype,slotavg,pointTitle
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-09 00:00:00,D,581.853125000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-09 00:00:00,D,248.468750000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-09 00:00:00,D,1287.785677083,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-10 00:00:00,D,105.206777083,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-10 00:00:00,D,172.005145833,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-10 00:00:00,D,139.390625000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-10 00:00:00,D,579.427083333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-10 00:00:00,D,248.527083333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-10 00:00:00,D,1305.518892708,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-11 00:00:00,D,107.914437500,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-11 00:00:00,D,174.804218750,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-11 00:00:00,D,145.931250000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-11 00:00:00,D,587.343750000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-11 00:00:00,D,247.412500000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-11 00:00:00,D,1024.088187500,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-12 00:00:00,D,110.316557291,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-12 00:00:00,D,184.511135416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-12 00:00:00,D,151.614583333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-12 00:00:00,D,583.518750000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-12 00:00:00,D,245.475000000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-12 00:00:00,D,805.350138541,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-13 00:00:00,D,105.523537500,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-13 00:00:00,D,178.083531250,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-13 00:00:00,D,139.410416666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-13 00:00:00,D,568.767708333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-13 00:00:00,D,245.850000000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-13 00:00:00,D,1988.617333333,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-14 00:00:00,D,107.056309375,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-14 00:00:00,D,175.950135416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-14 00:00:00,D,138.097916666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-14 00:00:00,D,575.260416666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-14 00:00:00,D,247.041666666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-14 00:00:00,D,2141.505020833,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-15 00:00:00,D,106.449442708,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-15 00:00:00,D,172.926312500,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-15 00:00:00,D,148.443750000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-15 00:00:00,D,575.375000000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-15 00:00:00,D,246.857291666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-15 00:00:00,D,2602.136531250,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-16 00:00:00,D,106.201172916,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-16 00:00:00,D,175.232781250,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-16 00:00:00,D,157.748958333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-16 00:00:00,D,576.526041666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-16 00:00:00,D,247.309375000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-16 00:00:00,D,1693.745750000,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-17 00:00:00,D,106.083489583,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-17 00:00:00,D,174.708489583,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-17 00:00:00,D,156.061458333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-17 00:00:00,D,577.823958333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-17 00:00:00,D,247.025000000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-17 00:00:00,D,1652.699583333,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-18 00:00:00,D,103.917886315,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-18 00:00:00,D,171.424375000,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-18 00:00:00,D,157.209375000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-18 00:00:00,D,570.165625000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-18 00:00:00,D,246.292708333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-18 00:00:00,D,1880.217729166,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-19 00:00:00,D,106.402257291,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-19 00:00:00,D,172.637322916,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-19 00:00:00,D,156.580208333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-19 00:00:00,D,578.854166666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-19 00:00:00,D,245.984375000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-19 00:00:00,D,1637.437132291,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-20 00:00:00,D,106.846929166,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-20 00:00:00,D,171.109687500,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-20 00:00:00,D,138.530208333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-20 00:00:00,D,570.581250000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-20 00:00:00,D,244.914583333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-20 00:00:00,D,1085.390429166,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-21 00:00:00,D,107.172338541,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-21 00:00:00,D,170.780895833,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-21 00:00:00,D,136.526041666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-21 00:00:00,D,570.394791666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-21 00:00:00,D,244.814583333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-21 00:00:00,D,1222.126814583,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-22 00:00:00,D,106.761122916,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-22 00:00:00,D,171.336260416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-22 00:00:00,D,156.736458333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-22 00:00:00,D,585.868750000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-22 00:00:00,D,246.747916666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-22 00:00:00,D,1110.812206250,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-23 00:00:00,D,107.403438541,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-23 00:00:00,D,177.289156250,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-23 00:00:00,D,154.702083333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-23 00:00:00,D,592.585416666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-23 00:00:00,D,248.009375000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-23 00:00:00,D,1012.405192708,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-24 00:00:00,D,106.865415625,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-24 00:00:00,D,179.701322916,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-24 00:00:00,D,157.851041666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-24 00:00:00,D,592.393750000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-24 00:00:00,D,248.256250000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-24 00:00:00,D,1539.211000000,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-25 00:00:00,D,109.483273958,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-25 00:00:00,D,183.641572916,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-25 00:00:00,D,155.203125000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-25 00:00:00,D,592.507291666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-25 00:00:00,D,244.675000000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-25 00:00:00,D,1675.060197916,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-26 00:00:00,D,109.882475000,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-26 00:00:00,D,185.230437500,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-26 00:00:00,D,156.852083333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-26 00:00:00,D,598.413541666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-26 00:00:00,D,250.102083333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-26 00:00:00,D,1535.902815625,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-27 00:00:00,D,108.697036458,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-27 00:00:00,D,179.582135416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-27 00:00:00,D,139.176041666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-27 00:00:00,D,586.290625000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-27 00:00:00,D,249.331250000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-27 00:00:00,D,1208.901347916,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-28 00:00:00,D,109.013067708,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-28 00:00:00,D,182.759666666,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-28 00:00:00,D,140.291666666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-28 00:00:00,D,588.403125000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-28 00:00:00,D,248.994791666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-28 00:00:00,D,910.990567708,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-29 00:00:00,D,109.800518750,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-29 00:00:00,D,181.341958333,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-29 00:00:00,D,158.000000000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-29 00:00:00,D,599.316666666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-29 00:00:00,D,249.077083333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-29 00:00:00,D,1117.063515625,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-30 00:00:00,D,107.391977083,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-30 00:00:00,D,181.533395833,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-30 00:00:00,D,159.111458333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-30 00:00:00,D,595.057291666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-30 00:00:00,D,250.233333333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-30 00:00:00,D,1466.431438541,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-31 00:00:00,D,103.254321875,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-31 00:00:00,D,180.514385416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-31 00:00:00,D,160.268750000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-31 00:00:00,D,594.547916666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-31 00:00:00,D,254.052083333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-31 00:00:00,D,1898.577260416,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-02-01 00:00:00,D,106.541160416,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-02-01 00:00:00,D,182.948510416,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-02-01 00:00:00,D,158.797916666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-02-01 00:00:00,D,607.560416666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-02-01 00:00:00,D,254.758333333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-02-01 00:00:00,D,1316.151737500,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-02-02 00:00:00,D,107.129715625,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-02-02 00:00:00,D,186.111239583,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-02-02 00:00:00,D,157.640625000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-02-02 00:00:00,D,605.598958333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-02-02 00:00:00,D,255.904166666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-02-02 00:00:00,D,1686.232303125,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-02-03 00:00:00,D,105.274439583,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-02-03 00:00:00,D,183.205520833,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-02-03 00:00:00,D,135.950000000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-02-03 00:00:00,D,595.130208333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-02-03 00:00:00,D,255.869791666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-02-03 00:00:00,D,1958.657666666,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-02-04 00:00:00,D,103.697883157,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-02-04 00:00:00,D,183.948843750,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-02-04 00:00:00,D,139.317708333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-02-04 00:00:00,D,588.301041666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-02-04 00:00:00,D,254.685416666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-02-04 00:00:00,D,1679.715270833,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-02-05 00:00:00,D,104.836497916,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-02-05 00:00:00,D,183.072947916,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-02-05 00:00:00,D,159.890625000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-02-05 00:00:00,D,604.411458333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-02-05 00:00:00,D,255.617708333,CIT Electric loads
