name,slottime_GMT,slottype,slotavg,pointTitle
BardHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,109.563541666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,357.648358333,Steam
BardHall.CW.FP/TONS,2016-06-23 00:00:00,D,60.713985416,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,109.830208333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,380.364502083,Steam
BardHall.CW.FP/TONS,2016-06-24 00:00:00,D,65.556255789,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-24 00:00:00,D,105.961052631,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-24 00:00:00,D,403.696665263,Steam
BardHall.CW.FP/TONS,2016-06-25 00:00:00,D,85.993780104,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-25 00:00:00,D,98.380208333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-25 00:00:00,D,337.952961458,Steam
BardHall.CW.FP/TONS,2016-06-26 00:00:00,D,133.099082291,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-26 00:00:00,D,97.717708333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-26 00:00:00,D,302.990251041,Steam
BardHall.CW.FP/TONS,2016-06-27 00:00:00,D,142.437930208,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-27 00:00:00,D,106.667708333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-27 00:00:00,D,329.315990625,Steam
BardHall.CW.FP/TONS,2016-06-28 00:00:00,D,167.015007291,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-28 00:00:00,D,106.038541666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-28 00:00:00,D,354.875850000,Steam
BardHall.CW.FP/TONS,2016-06-29 00:00:00,D,89.955212500,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-29 00:00:00,D,109.018750000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-29 00:00:00,D,367.079015625,Steam
BardHall.CW.FP/TONS,2016-06-30 00:00:00,D,70.401930833,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-30 00:00:00,D,107.504166666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-30 00:00:00,D,301.981845833,Steam
BardHall.CW.FP/TONS,2016-07-01 00:00:00,D,88.418384375,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-01 00:00:00,D,102.805208333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-01 00:00:00,D,383.737359375,Steam
BardHall.CW.FP/TONS,2016-07-02 00:00:00,D,62.545032291,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-02 00:00:00,D,95.380208333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-02 00:00:00,D,381.392328125,Steam
BardHall.CW.FP/TONS,2016-07-03 00:00:00,D,65.423991770,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-03 00:00:00,D,92.877083333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-03 00:00:00,D,368.602031250,Steam
BardHall.CW.FP/TONS,2016-07-04 00:00:00,D,72.045018750,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-04 00:00:00,D,94.317708333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-04 00:00:00,D,380.150913541,Steam
BardHall.CW.FP/TONS,2016-07-05 00:00:00,D,154.369583333,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-05 00:00:00,D,104.996875000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-05 00:00:00,D,334.774802083,Steam
BardHall.CW.FP/TONS,2016-07-06 00:00:00,D,152.410777083,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-06 00:00:00,D,108.300000000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-06 00:00:00,D,312.944911458,Steam
BardHall.CW.FP/TONS,2016-07-07 00:00:00,D,181.966260416,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-07 00:00:00,D,107.520833333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-07 00:00:00,D,311.405154166,Steam
BardHall.CW.FP/TONS,2016-07-08 00:00:00,D,176.681042708,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-08 00:00:00,D,107.104166666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-08 00:00:00,D,338.312730208,Steam
BardHall.CW.FP/TONS,2016-07-09 00:00:00,D,173.291895833,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-07-09 00:00:00,D,98.127083333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-07-09 00:00:00,D,355.721935416,Steam
