Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,22.92,0.0,54.43,102.15,2194.07688325,7.855253744249999
1,1,8,0,22.71,0.0,51.86,100.95,2191.65512675,6.1859633075
1,2,8,0,22.66,0.0,49.42,97.075,2208.926799,6.09225683925
1,3,8,0,22.67,0.0,47.54,99.8,2256.9564202499996,8.190409549249999
1,4,8,0,22.63,0.0,46.51,95.575,2061.0708075,8.531447285874998
1,5,8,0,22.62,0.0,46.1,92.55,1347.88046225,5.973985173749999
1,6,8,0,22.66,0.0,46.0,94.6,1131.1548767499999,5.3414709091249994
1,7,8,0,22.69,0.0,46.15,94.15,1252.1791617499998,4.956709934875
1,8,8,0,22.72,0.0,45.8,95.45,1159.02034375,5.077408226874999
1,9,8,0,22.67,0.0,45.44,94.7,1239.26536275,5.2328969575
1,10,8,0,22.71,0.0,45.45,94.325,1226.29190675,5.5736445539999995
1,11,8,0,22.82,0.0,46.24,95.325,1369.8226775,5.747579162875
1,12,8,0,22.86,0.0,48.09,97.2,2686.7307432499997,5.635330102999999
1,13,8,0,22.88,0.0,49.33,96.625,4641.416969999999,5.97001113325
1,14,8,0,22.9,0.0,49.87,96.525,2823.09146625,4.043392782
1,15,8,0,22.87,0.0,50.7,98.05,2514.47548,6.327463767249999
1,16,8,0,22.85,0.0,51.35,97.525,2683.706151,8.631273073125
1,17,8,0,22.87,0.0,51.22,97.2,2539.3046175,8.127581024
1,18,8,0,22.88,0.0,51.27,100.05,2524.3487134999996,6.363291676625
1,19,8,0,22.9,0.0,51.74,100.325,2478.5371677499998,6.31554164575
1,20,8,0,22.9,0.0,52.47,99.375,2614.4720844999997,6.180907835625
1,21,8,0,22.97,0.0,53.22,101.2,2671.25734125,7.28608674025
1,22,8,0,22.97,0.0,54.22,100.075,2783.84404375,7.9576380398749995
1,23,8,0,22.92,0.0,54.9,101.725,2522.15208275,7.704996327999999
1,0,8,0,22.95,0.0,55.41,100.85,2721.0287527499995,7.5369260664999995
1,1,8,0,22.94,0.0,56.47,102.325,2728.225099,6.104979044125
1,2,8,0,22.95,0.0,57.01,99.85,2777.23394225,6.364381900125
1,3,8,0,23.09,0.0,56.55,101.675,2930.02822725,6.55032655175
1,4,8,0,23.0,0.0,56.89,94.275,2546.42912825,7.972083501249999
1,5,8,0,22.97,0.0,57.18,94.925,1690.3982154999999,7.485835028125
1,6,8,0,23.0,0.0,57.28,95.75,1388.84222925,6.152597193125
1,7,8,0,22.98,0.0,57.67,95.3,1362.59367875,4.558039818875
