Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,19.95,0.0,61.9,24.475,1385.13625875,1.8465220924999999
1,1,8,0,19.79,0.0,62.21,24.85,1365.16828425,1.721278271875
1,2,8,0,19.7,0.0,62.33,26.225,1367.18320825,1.6545724195
1,3,8,0,19.55,0.0,62.5,28.75,1378.0009815,1.6954558007499998
1,4,8,0,19.47,0.0,62.39,25.025,1377.2651529999998,1.7399439532499998
1,5,8,0,19.42,0.0,62.28,26.2,1373.2495132499998,1.5329773307499999
1,6,8,0,19.36,0.0,62.25,25.25,1286.697708,1.853335989375
1,7,8,0,19.89,0.0,60.15,23.85,1160.7013297499998,1.770813104125
1,8,8,0,20.31,0.0,58.38,24.4,1366.5176267499999,1.7459401824999998
1,9,8,0,21.0,0.0,54.11,28.275,1367.9711042499998,1.75081101975
1,10,8,0,21.0,0.0,53.59,25.075,1365.8242465,1.6992803751249999
1,11,8,0,21.08,0.0,54.55,26.725,1360.6702699999998,1.750661553625
1,12,8,0,21.56,0.0,55.33,25.85,1363.7553134999998,1.553814667
1,13,8,0,21.9,0.0,56.8,25.45,1357.8800697499998,1.3834936215
1,14,8,0,21.55,0.0,58.77,26.05,1365.4073535,1.7253666099999998
1,15,8,0,21.1,0.0,60.64,25.05,1365.33984225,1.66215123125
1,16,8,0,21.07,0.0,60.46,24.375,1369.745547,1.647916780875
1,17,8,0,21.02,0.0,59.04,25.725,1362.71811125,1.6889056676249998
1,18,8,0,21.03,0.0,58.22,25.325,1368.9015239999999,1.704907335125
1,19,8,0,20.7,0.0,59.12,23.625,1272.4250355,1.765889514125
1,20,8,0,20.38,0.0,60.16,24.225,1359.78503425,1.746256699
1,21,8,0,20.23,0.0,60.68,24.7,1465.54436375,0.8611007225
1,22,8,0,20.15,0.0,61.0,25.0,1364.0211225,0.616503805
1,23,8,0,20.06,0.0,61.29,24.225,1349.57433275,0.6891003811249999
1,0,8,0,20.05,0.0,61.31,24.025,1359.3093667499998,0.6182270615
1,1,8,0,20.05,0.0,61.29,24.65,1629.9315217499998,0.6118791472499999
