Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,20.69,0.0,39.31,86.575,4636.9153375,22.9383376085
1,1,8,0,22.57,0.0,33.34,86.55,4640.0729225,24.3568238875
1,2,8,0,23.5,0.0,35.65,87.6,4783.575365,23.831239447124997
1,3,8,0,22.91,0.0,29.3,87.6,4460.721565,23.650297514625
1,4,8,0,23.1,0.0,28.3,86.85,4821.1813375,23.8387215455
1,5,8,0,22.1,0.0,30.5,87.625,4570.9917049999995,23.707446327124998
1,6,8,0,22.02,0.0,31.83,87.75,4696.7488375,22.995583134375
1,7,8,0,22.29,0.0,34.36,88.225,4800.4390575,22.440958305124997
1,8,8,0,22.55,0.0,35.46,88.0,4611.3263675,23.28392087375
1,9,8,0,22.81,0.0,35.85,85.725,4585.030515,23.171320128875
1,10,8,0,23.31,0.0,37.62,87.275,4585.62885,24.46758707825
1,11,8,0,23.96,0.35,42.34,89.8,4806.038519999999,21.679964717875
1,12,8,0,24.18,0.55,45.19,88.475,4803.551635,23.426713775874997
1,13,8,0,24.07,0.45,44.1,91.675,4794.1918399999995,24.00297602475
1,14,8,0,24.09,0.48,42.37,89.75,4963.51535,23.301171023
1,15,8,0,23.71,0.1,42.61,89.175,5031.981465,22.762609406124998
1,16,8,0,23.62,0.01,42.97,89.125,4921.8710575,24.13721418925
1,17,8,0,23.62,0.01,41.32,90.0,4858.0027675,21.921739363249998
1,18,8,0,23.62,0.01,40.2,87.7,4912.35153,23.435734496125
1,19,8,0,23.62,0.01,40.62,91.125,4679.991927499999,23.370452968
1,20,8,0,23.62,0.01,41.41,89.85,4878.405285,23.421807770125
1,21,8,0,23.62,0.01,41.76,88.15,5305.97477,23.22336071675
1,22,8,0,23.6,0.0,40.5,91.45,5417.28273,23.80786118675
1,23,8,0,23.19,0.0,38.54,88.15,5278.390467499999,23.968818619125
1,0,8,0,22.08,0.0,41.71,87.5,5215.0940375,22.699648998999997
1,1,8,0,23.48,0.0,40.86,89.725,5515.2552325,24.569276795999997
1,2,8,0,24.04,0.0,43.86,87.225,5354.829087499999,23.200325349249997
1,3,8,0,23.25,0.0,39.64,86.975,5718.1596325,22.95235225575
1,4,8,0,23.18,0.0,39.44,86.975,5580.366965,23.21724139775
1,5,8,0,22.67,0.0,41.79,88.8,5735.411625,23.667758674875
1,6,8,0,22.92,0.0,42.23,87.725,5770.945487499999,23.518881622249996
1,7,8,0,23.15,0.0,43.48,87.875,5593.202045,24.434994670875
1,8,8,0,23.53,0.0,43.69,87.1,5431.258,24.50553388975
1,9,8,0,23.62,0.01,42.69,87.7,5263.4003225,22.741350047875
1,10,8,0,23.62,0.01,41.29,87.275,5512.961614999999,22.378428712124997
1,11,8,0,24.08,0.47,39.85,88.1,5787.705045,23.681826074874998
1,12,8,0,24.13,0.52,36.03,89.025,5545.9785875,23.406913910374996
1,13,8,0,24.12,0.51,32.37,87.05,5753.816162499999,24.18451582175
1,14,8,0,24.22,0.61,29.21,86.775,5582.3764175,24.448903812624998
1,15,8,0,23.76,0.15,27.88,86.6,5490.97501,23.320645579875
1,16,8,0,23.61,0.0,26.41,87.125,5339.11088,24.033757254375
1,17,8,0,23.61,0.0,25.32,87.925,5602.2856175,23.390191288625
1,18,8,0,23.61,0.0,23.76,87.5,5405.0583400000005,23.1698870125
1,19,8,0,23.6,0.0,22.41,88.5,5641.1279724999995,29.345150303875
1,20,8,0,23.59,0.0,21.41,90.15,5100.6302575,28.372662149749996
1,21,8,0,23.36,0.0,20.32,93.175,5340.325199999999,25.280841056499998
1,22,8,0,22.73,0.0,18.68,90.475,5160.2237175,25.470539945499997
1,23,8,0,22.32,0.0,16.29,89.35,5108.6009975,26.348609469249997
1,0,8,0,19.57,0.0,17.72,91.575,5248.299865,26.564842991499997
1,1,8,0,21.49,0.0,16.89,89.1,5056.491137499999,25.750226233874997
1,2,8,0,22.08,0.0,20.39,89.3,5115.497735,24.251819538625
1,3,8,0,22.88,0.0,21.1,88.95,5125.07639,23.8315471715
1,4,8,0,22.67,0.0,14.84,86.75,5135.830535,23.72416015675
1,5,8,0,22.05,0.0,14.09,85.875,5076.19648,24.184973012249998
1,6,8,0,22.09,0.0,15.0,87.15,5243.36669,23.98711503125
1,7,8,0,21.87,0.0,15.73,85.425,5058.3726275,24.038311575125
1,8,8,0,22.15,0.0,16.61,85.525,5171.997149999999,25.311165095625
1,9,8,0,22.27,0.0,16.71,85.775,4926.8254125,24.419318312
1,10,8,0,22.5,0.0,16.49,86.475,5094.013272499999,24.258782901625
1,11,8,0,23.4,0.0,17.8,85.8,4832.35114,25.293888569999996
1,12,8,0,23.82,0.21,17.85,87.6,4893.401607499999,23.83349902325
1,13,8,0,23.82,0.21,17.2,83.925,4870.240395,22.5532425335
1,14,8,0,23.97,0.36,15.09,85.875,4706.1174575,23.117582660875
1,15,8,0,23.5,0.0,15.01,85.675,4876.4364275,23.667231147375
1,16,8,0,23.34,0.0,16.82,87.35,4828.851145,23.6007714745
1,17,8,0,23.35,0.0,18.39,87.8,4437.2814825,23.5155933675
1,18,8,0,23.24,0.0,18.34,90.25,4547.2392174999995,23.086845391875
1,19,8,0,23.05,0.0,17.53,91.625,4516.3993725,22.484971682875
1,20,8,0,23.11,0.0,17.65,92.55,4529.9528075,23.816002694499996
1,21,8,0,23.01,0.0,17.82,93.05,4467.875109999999,22.61709094525
1,22,8,0,22.55,0.0,16.84,92.125,4413.535172499999,22.241570494374997
1,23,8,0,22.19,0.0,14.95,95.25,4754.39815,22.446558888749998
1,0,8,0,19.2,0.0,16.33,90.775,5380.505425,23.936692194375
1,1,8,0,21.48,0.0,14.78,92.325,5497.0925,23.4948439525
1,2,8,0,22.34,0.0,18.36,90.7,5321.9709649999995,22.947578131874998
1,3,8,0,23.08,0.0,20.31,89.275,5711.449985,22.736830895624998
1,4,8,0,23.47,0.07,22.63,91.75,5782.10823,23.1956303545
1,5,8,0,21.97,0.0,18.93,88.85,5945.577235,24.103918411875
1,6,8,0,21.59,0.0,19.17,91.5,6126.1888025,23.320821422374998
1,7,8,0,21.76,0.0,23.2,88.75,6234.3285875,23.313312947625
1,8,8,0,22.01,0.0,26.49,88.575,6745.987967499999,23.047966615125
1,9,8,0,22.25,0.0,27.95,88.425,7011.568399999999,23.37764492625
1,10,8,0,22.67,0.0,28.15,88.625,7501.7592024999985,24.722330107999998
1,11,8,0,23.69,0.08,29.63,88.725,7983.72334,24.43030846825
1,12,8,0,24.08,0.47,30.2,93.425,8057.5012225,26.598666296374997
1,13,8,0,23.99,0.38,30.88,93.475,8076.959464999999,27.06977473025
1,14,8,0,24.04,0.43,31.0,97.725,8342.451647499998,26.187625660499997
1,15,8,0,23.71,0.1,32.4,99.55,8297.03202,26.054556848625
1,16,8,0,23.61,0.0,34.09,106.075,8239.49655,30.793292420499995
1,17,8,0,23.61,0.0,35.48,103.35,8201.96912,25.80945878
1,18,8,0,23.62,0.01,35.9,106.825,8218.767507499999,25.234163664875
1,19,8,0,23.62,0.01,36.04,110.35,8374.39197,24.381134113125
1,20,8,0,23.62,0.01,36.62,111.85,8578.498335,30.215482757624997
1,21,8,0,23.62,0.01,37.45,113.925,9060.5930825,27.412368673
1,22,8,0,23.43,0.0,36.95,111.95,9071.42224,31.095328290624998
1,23,8,0,22.85,0.0,34.94,102.15,9077.2670375,26.789050971125
