Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.688888888888888,0.3111111111111111
93.06665084262995,4.033349157370044
210.3198402948403,3.4801597051597053
285.1780621742368,4.7219378257632165
266.7647086004737,7.835291399526369
256.4102707423581,7.989729257641922
226.18785646181848,4.1121435381815035
143.13746330005873,2.2625366999412804
70.1025,1.7975000000000003
9.309697344039531,0.49030265596046946
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.751493174061434,0.7485068259385665
82.57138953408936,7.628610465910644
195.09912263076822,18.7008773692318
246.51408934707905,27.285910652920965
294.2165745856354,40.183425414364635
341.6474474259306,54.152552574069425
235.9640209830083,48.53597901699168
126.48548191648024,34.814518083519765
53.00631303969232,20.59368696030767
7.167534600046916,3.2324653999530852
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.39815777744763,4.60184222255237
41.82414578587699,35.975854214123004
92.31705312591723,43.28294687408277
154.7876586924605,67.11234130753951
178.45831389536824,60.8416861046318
178.31484467265722,78.08515532734275
123.31806342670768,97.78193657329231
68.0533123097475,103.74668769025251
26.450906986758532,61.44909301324147
3.0762921059398307,7.723707894060171
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.9443726996836055,3.5556273003163947
38.35943810359965,51.540561896400355
130.18915376578974,85.61084623421029
206.14748844375964,74.85251155624037
248.5487466823946,50.751253317605425
179.828031496063,41.47196850393701
138.15617993079584,36.243820069204155
96.04291666666666,33.95708333333333
49.701928374655644,18.89807162534435
6.999487617421009,2.3005123825789924
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
8.780025608194624,0.5199743918053777
112.49094064560916,6.309059354390836
